STRING	STRING	STRING	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING
22085	前途未知		030108	1	WorldNpc01369	WorldNpc01369				22084	22086							title_22085	context_22085	context_22085,menu_22085	complete_22085	uncom_22085	target_22085	task_TrackInfo_22085		CanAcceptMenu_22085	UncompleteMenu_22085	CompleteMenu_22085						1	0	0	0	0	1		
22086	前途未知		030108	1	WorldNpc01369	WorldNpc01362				22085	22088							title_22086	context_22086	context_22086,menu_22086	complete_22086	uncom_22086	target_22086	task_TrackInfo_22086		CanAcceptMenu_22086	UncompleteMenu_22086	CompleteMenu_22086						1	0	0	0	0	1		
22088	前途未知		030108	1	WorldNpc01362	WorldNpc01365				22086	22089							title_22088	context_22088	context_22088,menu_22088	complete_22088	uncom_22088	target_22088	task_TrackInfo_22088		CanAcceptMenu_22088	UncompleteMenu_22088	CompleteMenu_22088						1	0	0	0	0	1		
22089	前途未知		030108	1	WorldNpc01365	WorldNpc01365				22088	22091							title_22089	context_22089	context_22089,menu_22089	complete_22089	uncom_22089	target_22089	task_TrackInfo_22089		CanAcceptMenu_22089	UncompleteMenu_22089	CompleteMenu_22089						1	0	0	0	0	1		
22091	前途未知		030108	1	WorldNpc01365	WorldNpc01342				22089	22092							title_22091	context_22091	context_22091,menu_22091	complete_22091	uncom_22091	target_22091	task_TrackInfo_22091		CanAcceptMenu_22091	UncompleteMenu_22091	CompleteMenu_22091						1	0	0	0	0	1		
22092	前途未知		030108	1	WorldNpc01342	WorldNpc01342				22091	22093			18				title_22092	context_22092	context_22092,menu_22092	complete_22092	uncom_22092	target_22092	task_TrackInfo_22092		CanAcceptMenu_22092	UncompleteMenu_22092	CompleteMenu_22092						1	0	0	0	0	1		
22093	前途未知		030108	1	WorldNpc01342	WorldNpc01342		22094		22092	22094							title_22093	context_22093	context_22093,menu_22093	complete_22093	uncom_22093	target_22093	task_TrackInfo_22093		CanAcceptMenu_22093	UncompleteMenu_22093	CompleteMenu_22093						1	0	0	0	0	1		
22094	前途未知		030108	1		WorldNpc01194				22093	22095							title_22094	context_22094	context_22094,menu_22094	complete_22094	uncom_22094	target_22094	task_TrackInfo_22094		CanAcceptMenu_22094	UncompleteMenu_22094	CompleteMenu_22094						1	0	0	0	0	1		
22095	前途未知		030108	1	WorldNpc01194	WorldNpc01194				22094	22096							title_22095	context_22095	context_22095,menu_22095	complete_22095	uncom_22095	target_22095	task_TrackInfo_22095		CanAcceptMenu_22095	UncompleteMenu_22095	CompleteMenu_22095						1	0	0	0	0	1		
22096	前途未知		030108	1	WorldNpc01194	WorldNpc05921				22095	22097					submitnpcex_22096		title_22096	context_22096	context_22096,menu_22096	complete_22096	uncom_22096	target_22096	task_TrackInfo_22096		CanAcceptMenu_22096	UncompleteMenu_22096	CompleteMenu_22096						1	0	0	0	0	1		
22097	藏寨风云		030109	1	WorldNpc05921	WorldNpc05921				22096	22099							title_22097	context_22097	context_22097,menu_22097	complete_22097	uncom_22097	target_22097	task_TrackInfo_22097		CanAcceptMenu_22097	UncompleteMenu_22097	CompleteMenu_22097						1	0	0	0	0	1		
22099	藏寨风云		030109	1	WorldNpc05921	WorldNpc05928				22097	22100							title_22099	context_22099	context_22099,menu_22099	complete_22099	uncom_22099	target_22099	task_TrackInfo_22099		CanAcceptMenu_22099	UncompleteMenu_22099	CompleteMenu_22099						1	0	0	0	0	1		
22100	藏寨风云		030109	1	WorldNpc05928	WorldNpc05922				22099	22103							title_22100	context_22100	context_22100,menu_22100	complete_22100	uncom_22100	target_22100	task_TrackInfo_22100		CanAcceptMenu_22100	UncompleteMenu_22100	CompleteMenu_22100						1	0	0	0	0	1		
22103	藏寨风云		030109	1	WorldNpc05922	WorldNpc05851				22100	22104							title_22103	context_22103	context_22103,menu_22103	complete_22103	uncom_22103	target_22103	task_TrackInfo_22103		CanAcceptMenu_22103	UncompleteMenu_22103	CompleteMenu_22103						1	0	0	0	0	1		
22104	藏寨风云		030109	1	WorldNpc05851	WorldNpc05851				22103	22107							title_22104	context_22104	context_22104,menu_22104	complete_22104	uncom_22104	target_22104	task_TrackInfo_22104		CanAcceptMenu_22104	UncompleteMenu_22104	CompleteMenu_22104						1	0	0	0	0	1		
22107	藏寨风云		030109	1	WorldNpc05851	WorldNpc05924				22104	22109			21				title_22107	context_22107	context_22107,menu_22107	complete_22107	uncom_22107	target_22107	task_TrackInfo_22107		CanAcceptMenu_22107	UncompleteMenu_22107	CompleteMenu_22107						1	0	0	0	0	1		
22109	火工头陀		030110	1	WorldNpc05924	WorldNpc05852				22107	22110							title_22109	context_22109	context_22109,menu_22109	complete_22109	uncom_22109	target_22109	task_TrackInfo_22109		CanAcceptMenu_22109	UncompleteMenu_22109	CompleteMenu_22109						1	0	0	0	0	1		
22110	火工头陀		030110	1	WorldNpc05852	WorldNpc05852				22109	22111							title_22110	context_22110	context_22110,menu_22110	complete_22110	uncom_22110	target_22110	task_TrackInfo_22110		CanAcceptMenu_22110	UncompleteMenu_22110	CompleteMenu_22110						1	0	0	0	0	1		
22111	火工头陀		030110	1	WorldNpc05852	WorldNpc05859				22110	22113							title_22111	context_22111	context_22111,menu_22111	complete_22111	uncom_22111	target_22111	task_TrackInfo_22111		CanAcceptMenu_22111	UncompleteMenu_22111	CompleteMenu_22111						1	0	0	0	0	1		
22113	火工头陀		030110	1	WorldNpc05859	WorldNpc05859				22111	22114							title_22113	context_22113	context_22113,menu_22113	complete_22113	uncom_22113	target_22113	task_TrackInfo_22113		CanAcceptMenu_22113	UncompleteMenu_22113	CompleteMenu_22113						1	0	0	0	0	1		
22114	火工头陀		030110	1	WorldNpc05859	WorldNpc05859				22113	22115							title_22114	context_22114	context_22114,menu_22114	complete_22114	uncom_22114	target_22114	task_TrackInfo_22114		CanAcceptMenu_22114	UncompleteMenu_22114	CompleteMenu_22114						1	0	0	0	0	1		
22115	火工头陀		030110	1	WorldNpc05859	WorldNpc05859				22114	22117							title_22115	context_22115	context_22115,menu_22115	complete_22115	uncom_22115	target_22115	task_TrackInfo_22115		CanAcceptMenu_22115	UncompleteMenu_22115	CompleteMenu_22115						1	0	0	0	0	1		
22117	火工头陀		030110	1	WorldNpc05859	WorldNpc05859				22115	22119			22，23				title_22117	context_22117	context_22117,menu_22117	complete_22117	uncom_22117	target_22117	task_TrackInfo_22117		CanAcceptMenu_22117	UncompleteMenu_22117	CompleteMenu_22117						1	0	0	0	0	1		
22119	火工头陀		030110	1	WorldNpc05859	WorldNpc05859				22117	22120			24				title_22119	context_22119	context_22119,menu_22119	complete_22119	uncom_22119	target_22119	task_TrackInfo_22119		CanAcceptMenu_22119	UncompleteMenu_22119	CompleteMenu_22119						1	0	0	0	0	1		
22120	火工头陀		030110	1	WorldNpc05859	WorldNpc05859				22119	22121							title_22120	context_22120	context_22120,menu_22120	complete_22120	uncom_22120	target_22120	task_TrackInfo_22120		CanAcceptMenu_22120	UncompleteMenu_22120	CompleteMenu_22120						1	0	0	0	0	1		
22121	神秘老者		030111	1	WorldNpc05859	WorldNpc05859				22120	22122							title_22121	context_22121	context_22121,menu_22121	complete_22121	uncom_22121	target_22121	task_TrackInfo_22121		CanAcceptMenu_22121	UncompleteMenu_22121	CompleteMenu_22121						1	0	0	0	0	1		
22122	神秘老者		030111	1	WorldNpc05859	WorldNpc06001				22121	22123							title_22122	context_22122	context_22122,menu_22122	complete_22122	uncom_22122	target_22122	task_TrackInfo_22122		CanAcceptMenu_22122	UncompleteMenu_22122	CompleteMenu_22122						1	0	0	0	0	1		
22123	神秘老者		030111	1	WorldNpc06001	WorldNpc06001				22122	22126							title_22123	context_22123	context_22123,menu_22123	complete_22123	uncom_22123	target_22123	task_TrackInfo_22123		CanAcceptMenu_22123	UncompleteMenu_22123	CompleteMenu_22123						1	0	0	0	0	1		
22126	神秘老者		030111	1	WorldNpc06001	WorldNpc06037				22123	22128							title_22126	context_22126	context_22126,menu_22126	complete_22126	uncom_22126	target_22126	task_TrackInfo_22126										1	0	0	0	0	1		
22128	神秘老者		030111	1	WorldNpc06037	WorldNpc06007				22126	22130							title_22128	context_22128	context_22128,menu_22128	complete_22128	uncom_22128	target_22128	task_TrackInfo_22128										1	0	0	0	0	1		
22130	神秘老者		030111	1	WorldNpc06007	WorldNpc06007				22128	22132			25				title_22130	context_22130	context_22130,menu_22130	complete_22130	uncom_22130	target_22130	task_TrackInfo_22130										1	0	0	0	0	1		
22132	神秘老者		030111	1	WorldNpc06007	WorldNpc06009				22130	22132			26				title_22132	context_22132	context_22132,menu_22132	complete_22132	uncom_22132	target_22132	task_TrackInfo_22132										1	0	0	0	0	1		
22133	逝者悲情		030112	1	WorldNpc06009	WorldNpc06009				22132	22134							title_22133	context_22133	context_22133,menu_22133	complete_22133	uncom_22133	target_22133	task_TrackInfo_22133										1	0	0	0	0	1		
22134	逝者悲情		030112	1	WorldNpc06009	WorldNpc06009				22133	22135			27				title_22134	context_22134	context_22134,menu_22134	complete_22134	uncom_22134	target_22134	task_TrackInfo_22134										1	0	0	0	0	1		
22135	逝者悲情		030112	1	WorldNpc06009	WorldNpc06009				22134	22136							title_22135	context_22135	context_22135,menu_22135	complete_22135	uncom_22135	target_22135	task_TrackInfo_22135										1	0	0	0	0	1		
22136	逝者悲情		030112	1	WorldNpc06009	WorldNpc06038				22135	22138							title_22136	context_22136	context_22136,menu_22136	complete_22136	uncom_22136	target_22136	task_TrackInfo_22136										1	0	0	0	0	1		
22138	逝者悲情		030112	1	WorldNpc06038	WorldNpc06038				22136	22141							title_22138	context_22138	context_22138,menu_22138	complete_22138	uncom_22138	target_22138	task_TrackInfo_22138										1	0	0	0	0	1		
22141	逝者悲情		030112	1	WorldNpc06038	WorldNpc06037				22138	22142							title_22141	context_22141	context_22141,menu_22141	complete_22141	uncom_22141	target_22141	task_TrackInfo_22141										1	0	0	0	0	1		
22142	逝者悲情		030112	1	WorldNpc06037	WorldNpc06007				22141	22144							title_22142	context_22142	context_22142,menu_22142	complete_22142	uncom_22142	target_22142	task_TrackInfo_22142										1	0	0	0	0	1		
22144	逝者悲情		030112	1	WorldNpc06007	WorldNpc06008				22142	22145							title_22144	context_22144	context_22144,menu_22144	complete_22144	uncom_22144	target_22144	task_TrackInfo_22144										1	0	0	0	0	1		
22145	第一回			1	WorldNpc06008	WorldNpc06127					22146							title_22145	context_22145	context_22145	complete_22145	uncom_22145	target_22145	task_TrackInfo_22145										1	0	0	0	0	1		
22146	第一回			1	WorldNpc06127	WorldNpc06164				22145	22147							title_22146	context_22146	context_22146	complete_22146	uncom_22146	target_22146	task_TrackInfo_22146										1	0	0	0	0	1		
22147	第一回			1	WorldNpc06164	WorldNpc06165				22146	22148							title_22147	context_22147	context_22147	complete_22147	uncom_22147	target_22147	task_TrackInfo_22147										1	0	0	0	0	1		
22148	第一回			1	WorldNpc06165	WorldNpc06164				22147	22149							title_22148	context_22148	context_22148	complete_22148	uncom_22148	target_22148	task_TrackInfo_22148										1	0	0	0	0	1		
22149	第一回			1	WorldNpc06164	WorldNpc06179				22148	22150							title_22149	context_22149	context_22149	complete_22149	uncom_22149	target_22149	task_TrackInfo_22149										1	0	0	0	0	1		
22150	第一回			1	WorldNpc06179	WorldNpc06164				22149	22151							title_22150	context_22150	context_22150	complete_22150	uncom_22150	target_22150	task_TrackInfo_22150										1	0	0	0	0	1		
22151	第二回			1	WorldNpc06164	WorldNpc06127				22150	22152							title_22151	context_22151	context_22151	complete_22151	uncom_22151	target_22151	task_TrackInfo_22151										1	0	0	0	0	1		
22152	第二回			1	WorldNpc06127	FuncNpc02015				22151	22153							title_22152	context_22152	context_22152	complete_22152	uncom_22152	target_22152	task_TrackInfo_22152										1	0	0	0	0	1		
22153	第二回			1	FuncNpc02015	WorldNpc06167				22152	22154							title_22153	context_22153	context_22153	complete_22153	uncom_22153	target_22153	task_TrackInfo_22153										1	0	0	0	0	1		
22154	第二回			1	WorldNpc06167	WorldNpc06167				22153	22155							title_22154	context_22154	context_22154	complete_22154	uncom_22154	target_22154	task_TrackInfo_22154										1	0	0	0	0	1		
22155	第二回			1	WorldNpc06167	WorldNpc06168				22154	22156							title_22155	context_22155	context_22155	complete_22155	uncom_22155	target_22155	task_TrackInfo_22155										1	0	0	0	0	1		
22156	第二回			1	WorldNpc06168	WorldNpc06180				22155	22157							title_22156	context_22156	context_22156	complete_22156	uncom_22156	target_22156	task_TrackInfo_22156										1	0	0	0	0	1		
22157	第二回			1	WorldNpc06180	WorldNpc06127				22156	22158							title_22157	context_22157	context_22157	complete_22157	uncom_22157	target_22157	task_TrackInfo_22157										1	0	0	0	0	1		
22158	第三回			1	WorldNpc06127	WorldNpc06108				22157	22159							title_22158	context_22158	context_22158	complete_22158	uncom_22158	target_22158	task_TrackInfo_22158										1	0	0	0	0	1		
22159	第三回			1	WorldNpc06108	WorldNpc06112				22158	22160			22164				title_22159	context_22159	context_22159	complete_22159	uncom_22159	target_22159	task_TrackInfo_22159										1	0	0	0	0	1		
22160	第三回			1	WorldNpc06112	WorldNpc06171				22159	22161							title_22160	context_22160	context_22160	complete_22160	uncom_22160	target_22160	task_TrackInfo_22160										1	0	0	0	0	1		
22161	第三回			1	WorldNpc06171	WorldNpc06171				22160	22162							title_22161	context_22161	context_22161	complete_22161	uncom_22161	target_22161	task_TrackInfo_22161										1	0	0	0	0	1		
22162	第三回			1	WorldNpc06171	WorldNpc06171				22161	22163							title_22162	context_22162	context_22162	complete_22162	uncom_22162	target_22162	task_TrackInfo_22162										1	0	0	0	0	1		
22163	第三回			1	WorldNpc06171	WorldNpc06172				22162	22164							title_22163	context_22163	context_22163	complete_22163	uncom_22163	target_22163	task_TrackInfo_22163										1	0	0	0	0	1		
22164	第三回			1	WorldNpc06172	WorldNpc06171				22163	22165							title_22164	context_22164	context_22164	complete_22164	uncom_22164	target_22164	task_TrackInfo_22164										1	0	0	0	0	1		
22165	第四回			1	WorldNpc06171	WorldNpc06173				22164	22166							title_22165	context_22165	context_22165	complete_22165	uncom_22165	target_22165	task_TrackInfo_22165										1	0	0	0	0	1		
22166	第四回			1	WorldNpc06173	WorldNpc06171				22165	22167							title_22166	context_22166	context_22166	complete_22166	uncom_22166	target_22166	task_TrackInfo_22166										1	0	0	0	0	1		
22167	第四回			1	WorldNpc06171	WorldNpc06174				22166	22168							title_22167	context_22167	context_22167	complete_22167	uncom_22167	target_22167	task_TrackInfo_22167										1	0	0	0	0	1		
22168	第四回			1	WorldNpc06174	WorldNpc06171				22167	22169							title_22168	context_22168	context_22168	complete_22168	uncom_22168	target_22168	task_TrackInfo_22168										1	0	0	0	0	1		
22169	第四回			1	WorldNpc06171	WorldNpc06171				22168	22170			22169				title_22169	context_22169	context_22169	complete_22169	uncom_22169	target_22169	task_TrackInfo_22169										1	0	0	0	0	1		
22170	第四回			1	WorldNpc06171	WorldNpc06171				22169	22171							title_22170	context_22170	context_22170	complete_22170	uncom_22170	target_22170	task_TrackInfo_22170										1	0	0	0	0	1		
22171	第四回			1	WorldNpc06171	WorldNpc06127				22170	22172							title_22171	context_22171	context_22171	complete_22171	uncom_22171	target_22171	task_TrackInfo_22171										1	0	0	0	0	1		
22172	第四回			1	WorldNpc06127	WorldNpc06182				22171								title_22172	context_22172	context_22172	complete_22172	uncom_22172	target_22172	task_TrackInfo_22172										1	0	0	0	0	1		
24001	寻亲少年		010101	1		WorldNpc00009					24002					submitnpcex_24001		title_24001	context_24001	context_24001,menu_24001	complete_24001	uncom_24001	target_24001	task_TrackInfo_24001	next_24001	CanAcceptMenu_24001	UncompleteMenu_24001	CompleteMenu_24001				qdz01_8		1	0	0	0	0			
24002	寻亲少年		010101	1	WorldNpc00009	WorldNpc00002				24001	24003						task\task24002.lua	title_24002	context_24002	context_24002,menu_24002	complete_24002	uncom_24002	target_24002	task_TrackInfo_24002	next_24002	CanAcceptMenu_24002	UncompleteMenu_24002	CompleteMenu_24002													
24003	寻亲少年		010101	1	WorldNpc00002	WorldNpc00002				24002	24005							title_24003	context_24003	context_24003,menu_24003	complete_24003	uncom_24003	target_24003	task_TrackInfo_24003	next_24003	CanAcceptMenu_24003	UncompleteMenu_24003	CompleteMenu_24003						1	0	0	0	0			
24005	寻亲少年		010101	1	WorldNpc00002	FuncNpc00003				24003	24007							title_24005	context_24005	context_24005,menu_24005	complete_24005	uncom_24005	target_24005	task_TrackInfo_24005	next_24005	CanAcceptMenu_24005	UncompleteMenu_24005	CompleteMenu_24005						1	0	0	0	0			
24007	寻亲少年		010101	1	FuncNpc00003	FuncNpc00003				24005	24008							title_24007	context_24007	context_24007,menu_24007	complete_24007	uncom_24007	target_24007	task_TrackInfo_24007	next_24007	CanAcceptMenu_24007	UncompleteMenu_24007	CompleteMenu_24007						1	0	0	0	0			
24008	寻亲少年		010101	1	FuncNpc00003	FuncNpc00003				24007	24009						task\task_fight_guid2.lua	title_24008	context_24008	context_24008,menu_24008	complete_24008	uncom_24008	target_24008	task_TrackInfo_24008	next_24008	CanAcceptMenu_24008	UncompleteMenu_24008	CompleteMenu_24008					qdz01_12	1	0	0	0	0			
24009	寻亲少年		010101	1	FuncNpc00003	WorldNpc00004				24008	24010						task\task24009.lua	title_24009	context_24009	context_24009,menu_24009	complete_24009	uncom_24009	target_24009	task_TrackInfo_24009	next_24009	CanAcceptMenu_24009	UncompleteMenu_24009	CompleteMenu_24009					qdz01_13	1	0	0	0	0			
24010	寻亲少年		010101	1	WorldNpc00004	WorldNpc00008				24009	24012							title_24010	context_24010	context_24010,menu_24010	complete_24010	uncom_24010	target_24010	task_TrackInfo_24010	next_24010	CanAcceptMenu_24010	UncompleteMenu_24010	CompleteMenu_24010					qdz01_17	1	0	0	0	0			
24012	寻亲少年		010101	1	WorldNpc00008	FuncNpc00012				24010	24013							title_24012	context_24012	context_24012,menu_24012	complete_24012	uncom_24012	target_24012	task_TrackInfo_24012	next_24012	CanAcceptMenu_24012	UncompleteMenu_24012	CompleteMenu_24012					qdz01_19	1	0	0	0	0			
24013	茶林遇险		010102	1	FuncNpc00012	FuncNpc00012				24012	24015			1002				title_24013	context_24013	context_24013,menu_24013	complete_24013	uncom_24013	target_24013	task_TrackInfo_24013	next_24013	CanAcceptMenu_24013	UncompleteMenu_24013	CompleteMenu_24013					qdz01_21	1	0	0	0	0			
24015	茶林遇险		010102	1	FuncNpc00012	WorldNpc00010				24013	24016							title_24015	context_24015	context_24015,menu_24015	complete_24015	uncom_24015	target_24015	task_TrackInfo_24015	next_24015	CanAcceptMenu_24015	UncompleteMenu_24015	CompleteMenu_24015					qdz01_24	1	0	0	0	0			
24016	（精英）茶林遇险		010102	1	WorldNpc00010	WorldNpc00011				24015	24018							title_24016	context_24016	context_24016,menu_24016	complete_24016	uncom_24016	target_24016	task_TrackInfo_24016	next_24016	CanAcceptMenu_24016	UncompleteMenu_24016	CompleteMenu_24016						1	0	0	0	0			
24018	茶林遇险		010102	1	WorldNpc00011	WorldNpc00011				24016	24019							title_24018	context_24018	context_24018,menu_24018	complete_24018	uncom_24018	target_24018	task_TrackInfo_24018	next_24018	CanAcceptMenu_24018	UncompleteMenu_24018	CompleteMenu_24018					qdz01_29	1	0	0	0	0			
24019	茶林遇险		010102	1	WorldNpc00011	WorldNpc00013				24018	24021					submitnpcex_24019		title_24019	context_24019	context_24019,menu_24019	complete_24019	uncom_24019	target_24019	task_TrackInfo_24019	next_24019	CanAcceptMenu_24019	UncompleteMenu_24019	CompleteMenu_24019					qdz01_32	1	0	0	0	0			
24021	（精英）茶林遇险		010102	1	WorldNpc00013	WorldNpc00013				24019	24022							title_24021	context_24021	context_24021,menu_24021	complete_24021	uncom_24021	target_24021	task_TrackInfo_24021	next_24021	CanAcceptMenu_24021	UncompleteMenu_24021	CompleteMenu_24021					qdz01_34	1	0	0	0	0			
24022	茶林遇险		010102	1	WorldNpc00013	WorldNpc00047				24021	24024							title_24022	context_24022	context_24022,menu_24022	complete_24022	uncom_24022	target_24022	task_TrackInfo_24022	next_24022	CanAcceptMenu_24022	UncompleteMenu_24022	CompleteMenu_24022	22				qdz01_35	1	0	0	0	0			
24024	茶林遇险		010102	1	WorldNpc00047	FuncNpc00004				24022	24026			1003				title_24024	context_24024	context_24024,menu_24024	complete_24024	uncom_24024	target_24024	task_TrackInfo_24024	next_24024	CanAcceptMenu_24024	UncompleteMenu_24024	CompleteMenu_24024					qdz01_38	1	0	0	0	0			
24026	（精英）异地来客		010103	1	FuncNpc00004	FuncNpc00004				24024	24029							title_24026	context_24026	context_24026,menu_24026	complete_24026	uncom_24026	target_24026	task_TrackInfo_24026	next_24026	CanAcceptMenu_24026	UncompleteMenu_24026	CompleteMenu_24026						0	0	0	0	0			1001,1002
24029	异地来客		010103	1	FuncNpc00004	WorldNpc00016				24026	24031							title_24029	context_24029	context_24029,menu_24029	complete_24029	uncom_24029	target_24029	task_TrackInfo_24029	next_24029	CanAcceptMenu_24029	UncompleteMenu_24029	CompleteMenu_24029					qdz01_48	1	0	0	0	0			
24031	异地来客		010103	1	WorldNpc00016	WorldNpc00017		24034		24029	24034			1004				title_24031	context_24031	context_24031,menu_24031	complete_24031	uncom_24031	target_24031	task_TrackInfo_24031	next_24031	CanAcceptMenu_24031	UncompleteMenu_24031	CompleteMenu_24031					qdz01_50	1	0	0	0	0			
24034	异地来客		010103	1		WorldNpc00017				24031	24036							title_24034	context_24034	context_24034,menu_24034	complete_24034	uncom_24034	target_24034	task_TrackInfo_24034	next_24034	CanAcceptMenu_24034	UncompleteMenu_24034	CompleteMenu_24034					qdz01_53	1	0	0	0	0			
24036	异地来客		010103	1	WorldNpc00017	WorldNpc00017				24034	24037							title_24036	context_24036	context_24036,menu_24036	complete_24036	uncom_24036	target_24036	task_TrackInfo_24036	next_24036	CanAcceptMenu_24036	UncompleteMenu_24036	CompleteMenu_24036					qdz01_55	1	0	0	0	0			
24037	翦恶除奸		010104	1	WorldNpc00017	FuncNpc00003				24036	24039							title_24037	context_24037	context_24037,menu_24037	complete_24037	uncom_24037	target_24037	task_TrackInfo_24037	next_24037	CanAcceptMenu_24037	UncompleteMenu_24037	CompleteMenu_24037					qdz01_56	1	0	0	0	0			
24039	翦恶除奸		010104	1	FuncNpc00003	FuncNpc00003				24037	24040							title_24039	context_24039	context_24039,menu_24039	complete_24039	uncom_24039	target_24039	task_TrackInfo_24039	next_24039	CanAcceptMenu_24039	UncompleteMenu_24039	CompleteMenu_24039					qdz01_58	1	0	0	0	0			
24040	翦恶除奸		010104	1	FuncNpc00003	FuncNpc00003				24039	24041						task\task24040.lua	title_24040	context_24040	context_24040,menu_24040	complete_24040	uncom_24040	target_24040	task_TrackInfo_24040	next_24040	CanAcceptMenu_24040	UncompleteMenu_24040	CompleteMenu_24040						1	0	0	0	0			
24041	翦恶除奸		010104	1	FuncNpc00003	WorldNpc00018				24040	24044							title_24041	context_24041	context_24041,menu_24041	complete_24041	uncom_24041	target_24041	task_TrackInfo_24041	next_24041	CanAcceptMenu_24041	UncompleteMenu_24041	CompleteMenu_24041					qdz01_59	1	0	0	0	0			
24044	翦恶除奸		010104	1	WorldNpc00018	WorldNpc00018				24041	24046							title_24044	context_24044	context_24044,menu_24044	complete_24044	uncom_24044	target_24044	task_TrackInfo_24044	next_24044	CanAcceptMenu_24044	UncompleteMenu_24044	CompleteMenu_24044					qdz01_62	1	0	0	0	0			
24046	翦恶除奸		010104	1	WorldNpc00018	FuncNpc00003				24044	24048							title_24046	context_24046	context_24046,menu_24046	complete_24046	uncom_24046	target_24046	task_TrackInfo_24046	next_24046	CanAcceptMenu_24046	UncompleteMenu_24046	CompleteMenu_24046					qdz01_66	1	0	0	0	0			
24048	翦恶除奸		010104	1	FuncNpc00003	FuncNpc00003				24046	24049						task\task_s_24048.lua	title_24048	context_24048	context_24048,menu_24048	complete_24048	uncom_24048	target_24048	task_TrackInfo_24048	next_24048	CanAcceptMenu_24048	UncompleteMenu_24048	CompleteMenu_24048					qdz01_71	1	0	0	0	0			
