STRING	STRING	STRING	STRING	STRING
SceneID		hunter	所在场景ID	"1千灯镇,2恶人谷,3烟雨庄,4漠河镇,5锦衣卫,6丐帮,7君子堂,8极乐谷,9唐门,10峨眉,11武当,12少林,13燕京,14苏州,15金陵,16洛阳,17成都,18幽云十六州,19蓬莱仙境,20泛黄平原,21向阳坡,22念萝坝,23凌霄城,24梅花岭,25塞外大漠,26塞北草原"
NULL		hunter		
HideNpcID	1	hunter	隐藏NPCID串	"半角逗号分割,"
RefreshMonster	1	hunter	刷怪ID	刷怪表
				
ID		collect	收集表ID	空
ItemId	1	collect	道具ID	空
Count		collect	数量	空
Droprate		collect	概率	空
NpcId	1	collect	掉落NPC	空
SceneId		collect	所在场景ID	"1千灯镇,2恶人谷,3烟雨庄,4漠河镇,5锦衣卫,6丐帮,7君子堂,8极乐谷,9唐门,10峨眉,11武当,12少林,13燕京,14苏州,15金陵,16洛阳,17成都,18幽云十六州,19蓬莱仙境,20泛黄平原,21向阳坡,22念萝坝,23凌霄城,24梅花岭,25塞外大漠,26塞北草原"
NULL		collect		
IsNeedCreator		collect	怪物生成器	空
RefreshMonster	1	collect	刷怪ID	空
				
ID		interact	交互表ID	空
NpcID	1	interact	交互NpcID	空
SceneID	1	interact	所在场景ID	"1千灯镇,2恶人谷,3烟雨庄,4漠河镇,5锦衣卫,6丐帮,7君子堂,8极乐谷,9唐门,10峨眉,11武当,12少林,13燕京,14苏州,15金陵,16洛阳,17成都,18幽云十六州,19蓬莱仙境,20泛黄平原,21向阳坡,22念萝坝,23凌霄城,24梅花岭,25塞外大漠,26塞北草原"
NULL		interact		
GetItems		interact	获得道具	空
LostItems		interact	上缴道具	空
				
ID		story	ID	空
NpcID	1	story	讲故事NpcID	空
SceneID		story	所在场景ID	"1千灯镇,2恶人谷,3烟雨庄,4漠河镇,5锦衣卫,6丐帮,7君子堂,8极乐谷,9唐门,10峨眉,11武当,12少林,13燕京,14苏州,15金陵,16洛阳,17成都,18幽云十六州,19蓬莱仙境,20泛黄平原,21向阳坡,22念萝坝,23凌霄城,24梅花岭,25塞外大漠,26塞北草原"
LeaveResult		story	结束完成任务	空
				
ID		question	ID	空
QuestionNpc	1	question	答题NPC	空
SceneID		question	所在场景ID	"1千灯镇,2恶人谷,3烟雨庄,4漠河镇,5锦衣卫,6丐帮,7君子堂,8极乐谷,9唐门,10峨眉,11武当,12少林,13燕京,14苏州,15金陵,16洛阳,17成都,18幽云十六州,19蓬莱仙境,20泛黄平原,21向阳坡,22念萝坝,23凌霄城,24梅花岭,25塞外大漠,26塞北草原"
QuestionID		question	题库ID	空
				
ID		useitem	使用道具表ID	空
ItemID	1	useitem	道具ID	空
AddItems		useitem	使用生成道具	空
DeleteItems		useitem	使用删除道具	空
DeleteSelf		useitem	使用删除自己	空
SceneID		useitem	所在场景ID	"1千灯镇,2恶人谷,3烟雨庄,4漠河镇,5锦衣卫,6丐帮,7君子堂,8极乐谷,9唐门,10峨眉,11武当,12少林,13燕京,14苏州,15金陵,16洛阳,17成都,18幽云十六州,19蓬莱仙境,20泛黄平原,21向阳坡,22念萝坝,23凌霄城,24梅花岭,25塞外大漠,26塞北草原"
NULL		useitem		
LockTarget		useitem	强制锁定目标	空
TargetConfig		useitem	使用指定目标	ID
Radius		useitem	使用半径	空
NULL		useitem		
ProCount		useitem	进度总数量	空
AddPro		useitem	是否增加进度	空
NULL		useitem		
Water		useitem	是否在水里	空
				
ID		convoy	护送表ID	空
NpcId	1	convoy	护送NPC的ID	空
SceneID		convoy	所在场景ID	"1千灯镇,2恶人谷,3烟雨庄,4漠河镇,5锦衣卫,6丐帮,7君子堂,8极乐谷,9唐门,10峨眉,11武当,12少林,13燕京,14苏州,15金陵,16洛阳,17成都,18幽云十六州,19蓬莱仙境,20泛黄平原,21向阳坡,22念萝坝,23凌霄城,24梅花岭,25塞外大漠,26塞北草原"
PathID		convoy	路径ID	空
HideNpcID		convoy	隐藏npc的ID串	空
HideType		convoy	隐藏类型	空
