ID	Name	Title	Model	Kind	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	ShopTemplateID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	ShopOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeLowLimit1	ReputeHighLimit1	ReputeID2	ReputeValue2	ReputeLowLimit2	ReputeHighLimit2	ReputeID3	ReputeValue3	ReputeLowLimit3	ReputeHighLimit3	ReputeID4	ReputeValue4	ReputeLowLimit4	ReputeHighLimit4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	IsRandomDailyQuest	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillInterval6	SkillInterval7	SkillInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	HasGameCardSale	GameCardSaleOptionText	GameCardTradeRequireReputeLevel	HasGameCardBuy	GameCardBuyOptionText
13	董虎				28			229	9		1100	27	4				45	528			475					22						17	45	45	45	45	45	0	9	9	9	9	12	13	11	24	12	24	12	28	1	22			12	10	664	2	32	1	512	13	8																		稻香村\jinnang.tab	1							12										1		3	21	629145	新手村																																									0	9000									5							6	9	167					455																																														28				20											
14	小混混				28			171	8			33	3				240	132			103					22	9450					16	40	40	40	40	40	0	8	8	8	8	1	14	14	23	11	23	11	28	1	42			32	10			32	1			8																										2965										1		2	14	629145	新手村				2																																					0	9450									5							3	8	134																																																			28				0											
15	小偷				28			229	6	1		29	3				240	94			85					22						9	30	30	30	30	30	0	6	6	6	6	1	15	14	27	13	27	13	28	1	42			32	10																																	169										1		1	8	629145	新手村																																									0	9000									5							3	6	118																																																			28				0											
16	路霸				28			229	7	1		33	3				240	104			94					22						11	35	35	35	35	35	0	7	7	7	7	1	16	13	21	10	21	10	28	1	30			20	10			32	1			8																										9										1		2	11	629145	新手村																																									0	9000									7							3	7	126																																																			28				0											
17	陈定善	武器商		3	27			229	10		1100	46	3				240	144			164					22						19	54	54	54	54	54	0	10	10	10	10	2	17	11	31	15	31	15	28	1	36			26	10																																	14										1	1	4	24	629145	新手村				3			<G>我以前是个坏人，但现在我可算是好人了哦，哈哈！\n<H28><G>我从山寨出来还弄了不少武器，怎么样？知道我武功高强了吧？那可不是吹的，村里不少小伙子求着拜我为师呢。	1000					<G>槽糕！糟糕！咱可惹不起十二连环坞啊！我得赶紧逃命去了！	873						武器店																					0	9000									5							3	10	149																																																			27				0											
18	稻山野猪				29		2	22	5		800	62	3				180	89			0					22						7	24	24	24	24	24	0	2	2	2	2		18	24	21	11	21	11	28	1	23			13	10				1			8																										4										354		0	0	0	新手村			2																																						0	9000									4							3	5	110																																																			29				0											
19	梯田恶汉				28			171	7	1		33	3				240	104			94					22						11	35	35	35	35	35	0	7	7	7	7	1	19	13	21	10	21	10	28	1	30			20	10			32	1			8																										161										1		2	11	629145	新手村																																									0	9000									5							3	7	126																																																			28				0											
20	郁闷的小混混			3	26			171	7	1		33	3	0			60	104			94					22						11	35	35	35	35	35	0	7	7	7	7	1	20	13	28	13	28	13	28	1	42			32	10			32	1			8																										2923										1		2	11	629145	新手村																																									0	9000									2							3	7	126																																																			26				0											
21	紫薇岗猛虎				28		2	97	29			90	3				240	1199			0					22	9180					106	205	205	205	205	205	537	13	13	13	13		21	13	62	31	62	31	28	1	26			16	10	676	6	160	1	512	16	8																										44										349		0	0	0	扬州			2	3																																					0	9000									7							3	29	254																																																			28				0											
22	报信民兵			3	27				6			27	3				240	94			85				11	34						9	30	30	30	30	30	0	6	6	6	6		22	11	22	11	22	11	28	1	35			25	10																																	119										1		1	8	629145	新手村																																									0	9000									5							3	6	118																																																			27				0											
23	王大石	民兵队长		3	27				9		1050	41	3				300	145			114					22	9450					19	45	45	45	45	45	0	9	9	9	9	1	23	11	18	8	18	8	28	1	31			21	10																																	18										1		3	18	629145	新手村				2			<G>要不是村长拦着我早去把这些乌龟王八羔子收拾干净了！	1000	<G>听说李复很会领兵打仗，我看不过是懦夫！这么些山贼都不敢打！	1000			<G>我不走！要走你们自己走！我倒要看看，那什么十二连环坞的人厉害到哪里去！	873			scripts\Map\稻香村\npc\王大石.lua																								0	9450									15							3	9	141																																																			27				0											
24	王富	车夫		3	26				4		960	27	3				180	75			68					22	9450					5	22	22	22	22	22	0	4	4	4	4	3	24	26	19	10	19	10	28	1	28	1	1024	18	10																																	19										1		1	5	629145	新手村			0	0			<G>大江南北，关内关外，没有我不知道的地方。小玩意也收集了不少，嘿嘿，在这村里大伙有啥事都来问我。人嘛，就该多出去走走，大千世界，见识广了啥事都好办了。	2000					<G>放心，我会把所有的乡亲都送出去村的。唉，不太平啊，不太平！	873			scripts\Map\稻香村\npc\王富.lua																								0	9000									1							3	4	102																																																			26				0											
25	李复			3	26				73		930	28	2				180	1949806			1754825					22	9450					247	1009	1009	1009	1009	1009	4928	73	73	73	73	8	25	26	8573	4286	8573	4286	28	1	30	1	1024	20	10																																	20										1		5555	31666	838860	新手村			0	0			<G>出其所不趋，趋其所不意。行千里而不劳者，行于无人之地也。攻而必取者，攻其所不守也。守而必固者，守其所不攻也。	1000	<G>故善用兵者，避其锐气，击其惰归，此治气者也。以治待乱，以静待哗，此治心者也。以近待远，以佚待劳，以饱待饥，此治力者也。无邀正正之旗，勿击堂堂之陈，此治变者也。	1000			<G>事到如今我也无能为力了！毕竟我还不是真正的军师，我不是……	873																											500	9500									2							2	73	11111																																																			26															
26	莫雨			3	26						650	21	3				180	51			45					22	9450					1	12	12	12	12	12	0	1	1	1	1		26	22	18	8	18	8	28	1	24	1	1024	14	10																																	21										1		0	2	629145	新手村			0	0			<G>我没有吃小荷的包子！小荷不让我吃包子，还打了我！呜呜呜呜……	2000	<G>我不叫小雨，我是莫雨，姓莫！名雨！我不是孩子，哼！你别告诉别人哦，那个大侠墓那儿很好玩呢，可以听到很多嗡嗡的声音，可惜不知道为什么，后来就听不到了。	2000	<G>小白都不和我来玩，我这儿有本小人书，上面有很多很好看的小人哦，不过我上次看得都睡着了，我都说可以和他一起看啦，嗯，现在只能先把书收起来了。	2000	<G>离开村子？去哪好呢？\n<H28><G><F174 小莫雨歪着脑袋若有所思。>	873																											0	9000									2							3	1	78																																																			26				0											
27	余半仙	算命先生		3	26							39	3				180	51			45					22	9450					1	12	12	12	12	12	0	1	1	1	1	5	27	22	21	11	21	11	28	1	39	1	1024	29	10																																	22										1		0	2	629145	新手村			0	0			<G>谓之卦者，言悬挂物象以示于人也，八卦即成，则八卦皆为太极。复生两仪而十六，四象而三十二，八卦而六十四，而万物之变化于斯矣。\n<H28><G><F174 余半仙还没说完，看了看你。>\n<H28><G>各位之中有大吉大凶之人，也有高寿夭亡之辈，这芸芸众生，各有各的命数。	1000					<G>祸兮福之所倚，福兮祸之所伏。天意如此，天意如此！	873																											0	9000									2							3	1	78																																																			26				0											
28	王婆婆	小吃商		3	26						730	40	3				180	51			45					22	9450					1	12	12	12	12	12	0	1	1	1	1	7	28	22	24	11	24	11	28	1	43	1	1024	33	10																																	23										1	4	0	2	629145	新手村			0	0			<G>大石这孩子成天往外跑，也不知道回家里帮忙，这都是收稻子的时候了。唉！成天想着带兵打仗，带什么兵哟！这稻子不种啦？你什么时候见到大石帮我好好说他一通！	1000	<G>年纪大了也干不成什么事，做些小买卖补贴家用。小孩子们最爱吃我做的稻香饼了。要不要尝一个？\n<G>我跟你说，\n<G>我做的稻香饼，\n<G>是全天下，\n<G>最好吃的！	1000			<G>没想到，一把年纪了还要离开这村子。唉，只能去齐华村投靠远房亲戚了。造孽啊！造孽！	873						食品店																					0	9000									2							3	1	78																																																			26				0											
29	张强	猎户		3	27				7		1100	41	3				180	120			94					22	9450					13	35	35	35	35	35	0	7	7	7	7		29	21	17	8	17	8	28	1	31	1	1024	21	10																																	24										1		2	11	629145	新手村				2			<G>今个儿正要去野林修栅栏，可是嗖的一下不知从哪里冒出个山贼，射了个冷箭射在我屁股上，吓得我是不要命地往村子里跑！	100	<G>人倒霉喝水都能塞牙缝，你说说，山贼怎么会跑到稻香野林来了？还偏偏让我撞上！幸亏那小月学了她爹的本事给我敷了点灵药，不然我这被箭伤的屁股怕是保不住了。	100	<G>说来真是奇怪，这箭还厉害了，刚好射在我屁股上，当时整个屁股都黑了，痛得要命。我刚还和村长说了，他竟说山贼不可能出现在稻香野林，说村口有人把守呢。可你说说，不是山贼是谁？难道有鬼啊？	50	<G>唉，那山贼太厉害了，咱们普通老百姓可斗不过他们。就算你不去惹那董虎他们早晚也要攻进村子里的。这是命啊！	873																											0	9450									1							3	7	126																																																			27				0											
30	张忠	猎户		3	27				7		1100	41	3				180	120			94					22	9450					13	35	35	35	35	35	0	7	7	7	7	10	30	21	17	9	17	9	28	1	33	1	1024	23	10																																	25										1		2	11	629145	新手村				2			<G>我打猎的技术不是吹，我们村子我是最厉害的，有没有兴趣跟我学学打猎？	1000																																	0	9450									1							3	7	126																																																			27				0											
31	陈商	郎中		3	26				5			39	3				180	84			76					22	9450					7	26	26	26	26	26	0	5	5	5	5	4	31	26	20	10	20	10	28	1	29	1	1024	19	10																																	26										1	5	1	6	629145	新手村			0	0			<G>若不是为了恩公，我何苦在此忍气吞声？然而我这双手却是废了的。	1000	<G>不知他们为何突然将我们围困于此。阮氏夫妇不过在下面的野林打些狼而已。	1000			<G>记得我交待你的话，若不见我回来，就把包裹交给十二连环坞的人！切记。今日一别，你我不知何时才能相见，有句话你要切切记住，“逢五必跳”，切记切记。	857						药品店																					0	9000									4							3	5	110																																																			26				0											
32	毛毛			3	26				1		470	18	3				240	51			45					22	9450					1	12	12	12	12	12	0	1	1	1	1		32	22	18	8	18	8	28	1	25	1	1024	15	10																																	28										1		0	2	629145	新手村			0	0			<G>毛毛喜欢吃婆婆做的稻香饼，也喜欢吃娘亲做的五花肉。毛毛想娘亲了……\n<H28><G><F174 毛毛低下了头小心地啜泣。>	1000	<G>爹爹要毛毛不哭，毛毛就不哭，哭鼻子就不是好孩子。可是毛毛想爹爹的时候眼泪就自己掉下来了。爹爹什么时候才来接毛毛回去呢？	1000																															0	9000									5							3	1	78																																																			26				0											
33	小男孩			3	26				1		300	13	3	0	0		180	51			45					22	9450					1	12	12	12	12	12	0	1	1	1	1		33	26	18	8	18	8	28	1	28	1	1024	18	10																																	27										1		0	2	629145	新手村			0	0																																					0	9000									2							3	1	78																																																			26				0											
34	小女孩			3	26				1		470	18	3	0	0		180	51			45					22	9450					1	12	12	12	12	12	0	1	1	1	1		34	26	18	8	18	8	28	1	25	1	1024	15	10																																	29										1		0	2	629145	新手村			0	0																																					0	9000									2							3	1	78																																																			26				0											
35	徐嫂	杂货商		3	26				2			41	3				180	58			52					22	9450					2	15	15	15	15	15	0	2	2	2	2		35	22	18	9	18	9	28	1	26	1	1024	16	10																																	30	52									1	2	0	3	629145	新手村			0	0			<G>昨个儿去地里看了看，今年又是个丰收年。可惜了被抢去的那片地，村长也不想个办法把田地抢回来，真是的！	2000	<G>梁师农那两头猪长得是越来越壮了。我听说现在猪肉特别贵，要是他把那两头猪宰了卖，得来的银两足足可以建座大房子了，带院子的那种。梁师农那一根筋却说什么阿文阿武跟随他多年怎么可以卖了它们！一点都不争气，难怪这么大年纪还没娶到老婆！	3000			<G>哎哟！这是啥子事情哟！好好的，让整村的人走，往哪走去？还让不让人活了呀！	873						杂货店																					0	9000									2							3	2	86																																																			26				0											
36	刘洋	村长		3	26				3			52	3				180	66			60					22	9450					3	18	18	18	18	18	0	3	3	3	3		36	26	19	9	19	9	28	1	26	1	1024	16	10																																	31										1		1	4	629145	新手村			0	0			<G>我又何尝不想把田地夺回来，不过李公子说得对，山贼人多势众，山寨又如此靠近田地，现在夺回吃亏的肯定是咱们，还是忍忍等机会吧。	1000	<G>一定要保护乡亲们的安全。现在山贼越来越多，我每天都是提心吊胆。也许大海这孩子做的对，哪天村里人都会了武功，就不必惧怕那些山贼了。要是唐大侠还在世便好了。	1000			<G>唉，走吧走吧！各自逃命去吧！老天爷会保佑好人的！	873			scripts\Map\稻香村\npc\刘洋.lua																								0	9000									2							3	3	94																																																			26				0											
37	春兰			3	26				2			36	3				180	58			52					22	9450					2	15	15	15	15	15	0	2	2	2	2		37	22	20	10	20	10	28	1	35	1	1024	25	10																																	32										1		0	3	629145	新手村			0	0			<G>那个李公子也不知是哪里人，突然来到咱村。他知道的可多了！就是不太爱理人。上次去小镜湖打水，向他打了招呼都不理我。不过我发现一件事，总有位穿青衣的姑娘跟着他，不过李公子对那姑娘也是不理不睬的。	2000	<G>那边那个黑衣女子的衣着真是奇怪，哪有人一身黑的。不过长得倒挺漂亮的，听说是从万花谷来的。万花谷，万花谷，听起来是个长满各样鲜花的山谷吧！可真美呀！	1000			<G>唉，啥都别抱怨了，还是保命要紧！	873																											0	9000									2							3	2	86																																																			26				0											
38	刘大海	武师		3	27				40		1100	49	6				240	70604			55255					22	9450					163	285	285	285	285	285	1473	40	40	40	40		38	11	1249	625	1249	625	28	1	28	1	1024	18	10																																	33										1		750	4500	734003	新手村				2			<G>香山梯田那边的山贼不过是十二连环坞下一个小统领的虾兵蟹将，竟就有如此多的人。看来十二连环坞的势力又比以前大了许多啊！！	2000	<G>想当年我还在振远镖局那会儿，才叫一个威风呢！咱押镖可从来没人敢劫，那些小贼只见到镖旗就远远逃开了。唉，可惜现在不行了，就是所有的镖局联合起来，也对付不了十二连环坞了。这些个王八羔子抢财夺物杀人放火都干尽了，现在势力又这么大，别说周遭的老百姓，就是镖局押镖都艰难！	1000	<G>你要好好练武，将来有了一身本领上哪都不怕！行侠仗义，惩恶扬善也不必惧怕那些恶人了！	2000	<G>你赶紧走吧！再晚怕来不及了！我还要在这送送乡亲们！放心，不会有事的，只要大家都赶紧逃……	873	0	0	scripts\Map\稻香村\npc\刘大海.lua																								0	9450									5							5	40	3412																																																			27															
39	陈刚	民兵副队长		3	27				8			28	3				240	94			107					22	9450					13	43	43	43	43	43	0	8	8	8	8		39	11	32	16	32	16	28	1	40			30	10																																	34										1		2	14	629145	新手村				3			<G>李复公子真是厉害！让我们守住了两个路口，山贼就进不去村子，也夺不了稻田了！哈哈，现在董豹在小岛上，动都不敢动！	2000					<G>要乡亲们快离开，我们先守在这，稳住山贼！	873																											0	9000									5							3	8	134																																																			27				0											
40	梁师农	养猪状元		3	26				5			27	3				180	84			76					22	9450					7	26	26	26	26	26	0	5	5	5	5	35	40	22	20	10	20	10	28	1	28	1	1024	18	10																																	35										1		1	6	629145	新手村			0	0			<G>半年前，那俩臭小子还屁颠屁颠地向我请教养猪之法。现在竟让我在这扎稻草人！好歹我也是个养猪状元！	1000	<G>割稻子！割稻子！老子可没种那么多的稻子。现在猪肉价钱飞涨，竟让我在这扎稻草人！还把我的赶猪棒给拿了去！	1000	<G>阿文，阿武，这名字可是我叫这片出名的余半仙取的，半仙说了，这名字旺财。	1000	<G><F174 梁师农望着前面的农田，红了眼眶。>\n<H28><G>好容易做起来的家业，就要这么丢下么……。本来打算今年养养猪种种地，盖个房子娶媳妇的……\n<H28><G>可恨的山贼！！	873																											0	9000									2							3	5	110																																																			26				0											
41	受伤的村民			3	26				1		490	27	3				30	51			45					22	9450					1	12	12	12	12	12	0	1	1	1	1		41	21	18	8	18	8	28	1	10	1	1024	16	10																																	36	46	47	48	49						1		0	2	629145	新手村			0	0			<G><F174 这个村民虽然强忍着痛苦，但头上不断的渗出汗来。口中还零零碎碎的念着些什么。>	950	<G><F174 这个村民虽然强忍着痛苦，但头上不断的渗出汗来。口中还零零碎碎的念着些什么。仔细听好像是在叫“啊……啊弟……陪……”>	50																															0	9000									9							3	1	78																																																			26				0											
42	村姑			3	26				1		940	36	3	0	0		180	51			45					22	9450					1	12	12	12	12	12	0	1	1	1	1		42	22	19	10	19	10	28	1	35	1	1024	25	10																																	37										1		0	2	629145	新手村			0	0			<G>听说今年大丰收，也不知人手够不够，粮仓要准备个大点的了。	1000	<G><N>，听说你最近和刘大海在学武功啊？学得怎么样了？我听说大海还能飞上屋顶，是不是吹牛的呀？我还从来没见谁能飞得起来的，特别是大海那身材……哈哈！\n<H28><G><F174 村姑扑哧一声，笑了起来。>	1000			<G>走？走哪去啊？走了，什么时候再回来？这，这村长是怎么了？为什么要走？	873																											0	9000									2							3	1	78																																																			26				0											
43	老翁			3	26				2			31	3	0	0		180	58			52					22	9450					2	15	15	15	15	15	0	2	2	2	2		43	22	18	9	18	9	28	1	27	1	1024	17	10																																	38										1		0	3	629145	新手村			0	0																																					0	9000									2							3	2	86																																																			26				0											
44	民兵	稻香村·守卫		3	27				6			27	3				240	94			85					22	9450					9	30	30	30	30	30	0	6	6	6	6		44	11	25	12	25	12	28	1	39			29	10																																	39										1		1	8	629145	新手村							<G>今年粮食大丰收，可要看好了这粮食，免得让山贼夺了去！他们已经拿下咱们香山梯田，可恶的山贼！总有一天要夺回我们的田地！	1000	<G>说起李先生这个人还真奇怪，一个人躲在小镜湖下棋，也不知一个人下棋有啥意思。咱村长可敬佩他了，他给了村长三个锦囊，村长直夸他料事如神！说能守住村子全靠了他。	1000			<G>让老少女子先走，我们在后头压压阵，收拾收拾便来！	873			scripts\Map\稻香村\npc\民兵.lua																								0	9000									5							3	6	118																																																			27				0											
45	农夫			3	26				5			27	3	0	0		180	84			76					22	9450					7	26	26	26	26	26	0	5	5	5	5		45	22	22	11	22	11	28	1	35	1	1024	25	10																																	40	51									1		1	6	629145	新手村			0	0																																					0	9000									2							3	5	110																																																			26				0											
46	阿文				26				1		500	39	3	0	0		180	51			45					22	9450					1	12	12	12	12	12	0	1	1	1	1		46	22	18	8	18	8	28	1	31	1	1024	21	10																																	41										1		0	2	629145	新手村			0	0																																					0	9000								0	2							3	1	78																																																			26				0											
