STRING	STRING	STRING	STRING	STRING	STRING
1149	taskitem_45a	1	1	1	
1150	taskitem_33b	0	1	1	
1151	taskitem_29b	0	1	1	
1152	taskitem_29b	1	0	1	
1153	taskitem_63b	1	0	1	
1154	taskitem_65b	0	1	1	
1155	useitem_23b	0	1	3	
1156	useitem_24b	0	1	3	
1157	taskitem_70b	0	1	1	
1158	taskitem_72b	1	1	1	
1159	useitem_51b	1	0	1	
1160	useitem_52b	0	1	1	
1161	taskitem_71b	0	1	1	
1162	useitem_52b	1	1	1	
1163	taskitem_66b	1	0	1	
1164	taskitem_67b	1	1	1	
1165	useitem_53b	1	1	1	
1166	taskitem_67b	1	0	1	
1167	taskitem_68b	0	1	1	
1168	taskitem_69b	0	1	1	
