STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING																						
4053	useitem_20b	1	1	useitem24658	1	1	3	11	0			WorldNpc04808																							
4054	useitem_26b	1	1	useitem24669_1	0	1	3	11	0			WorldNpc04809																							
4055	useitem_26b	1	1	useitem24669_2	0	1	3	11	0			WorldNpc04810																							
4056	useitem_21b	1	1	useitem24690	1	1	3	11	0			WorldNpc04710																							
4057	useitem_22b				0	0	0	11	0	taskitem_38b	taskitem_417																								
4058	useitem_23b	3	1	useitem24713_1	1	1	3	11	0			WorldNpc04805																							
4059	useitem_24b	3	1	useitem24713_2	1	1	3	11	0			WorldNpc04805																							
4060	useitem_25b	1	1	useitem24718	1	1	3	11	0			WorldNpc04805																							
4061	useitem_8f	1	1	useitem24067_1	1	1	3	1	0			WorldNpc00023																							
4062	useitem_8f	1	1	useitem24067_2	1	1	3	1	0			WorldNpc00024																							
4063	useitem_8f	1	1	useitem24067_3	1	1	3	1	0			WorldNpc00025																							
4064	useitem_18f	1	1	useitem24163	1	0	5	22	0			EventNpc24164																							
4065	useitem_19f	1	1	useitem24178	1	1	0	22	0			WorldNpc06113																							
4066	useitem_40b	1	1	useitem24157	1	0	0	22	0																										
4067	useitem_38b	1	1	useitem24018	0		0	1	0																										
4068	useitem_39b	1	1	useitem24034	1	1	3	1	0			WorldNpc00017																							
4069	useitem_41b	1	1	useitem24247	1	0	0	1	0																										
4070	useitem_42b	1	1	useitem24163_1	0	1	3	22	0			WorldNpc06110																							
4071	useitem_43b	1	1	useitem24412	1	0	0	10	0	taskitem_49b;taskitem_50b																									
4072	useitem_44b	1	1	useitem24449	0	1	3	9	0			WorldNpc02510																							
4073	useitem_45b	1	1	useitem24454	1	1	3	9	0			Gather00025b																							
4074	useitem_46b	1	1	useitem24470	1	1	3	9	0			WorldNpc02533																							
4075	useitem_4a	4	1	useitem24487_2	0	1	3	22	0			Gather00027b																							
4076	useitem_47b	1	1	useitem24496	1	0	0	9	0																										
4077	useitem_48b	1	1	useitem24497	0	1	3	22	0			Gather00028b																							
4078	useitem_49b	4	1	useitem24557	1	0	0	9	0																										
4079	useitem_50b	1	1	useitem24596	1	1	3	9	0			Gather00033b																							
4080	useitem_51b	1	1	useitem24738	1	1	3	10	0			WorldNpc02706																							
4081	useitem_52b	1	1	useitem24741	0	1	3	10	0			WorldNpc02706																							
4082	useitem_53b	1	1	useitem24759	0	0	0	10	0	taskitem_68b;taskitem_69b	taskitem_67b																								
