STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING												
5042	monrm056800	9	885	62.3	-225	1800													
5043	monrm054000	9	1055	103	-349	1800													
5044	monrm054700	9	1060	78	-116	1800													
5045	monrm054700	9	1061	78	-118	1800													
5046	monrm054700	9	1039	78	-179	1800													
5047	monrm054700	9	1043	78	-178	1800													
5048	monrm054700	9	1039	78	-175	1800													
5049	monrm054100	9	1030	73	5	1800													
5050	monrc051400	17	937	24	875	1800													
5051	monrc051500	17	1283	84	611	1800													
5052	monrc051500	17	1285	84	615	1800													
5053	monrc051500	17	1298	84	615	1800													
5054	monrc051500	17	1301	84	611	1800													
5055	monrc051500	17	1292	84	612	1800													
5057	monrc051600	17	914	28	849	1800													
5058	monrc051700	17	894	30	592	1800													
5059	monrc051800	17	808	25	615	1800													
5060	monrc051900	17	950	19	755	1800													
5061	monrc051900	17	953	19	758	1800													
5063	monrc052000	17	894	30.3	594	1800													
5064	monrc052000	17	891	30.3	595	1800													
5065	monrc052000	17	892	30.3	596	1800													
5066	monrc052000	17	889	30.3	596	1800													
5067	monrc052000	17	892	30.3	591	1800													
5068	monrc052100	17	667	24	610	1800													
5069	monrc051700	17	894	30	592	1800													
5070	monrv041100	1	618.55	-39.68	677.94	1800													
5071	monrv041100	1	615.28	-39.68	676.19	1800													
5072	monrv041100	1	609.73	-39.68	674.2	1800													
5073	monrv041200	1	890	-35	489	1800													
5074	monrv041200	1	886	-36	484	1800													
5075	monrv041200	1	877	-39	483	1800													
5076	monrv041300	1	496.87	-40.29	811.56	1800													
5077	monrv041300	1	497.72	-40.59	813.44	1800													
5078	monrv041400	1	969.7	30.8	921.3	1800													
5079	monrv041400	1	969.8	30.2	926.6	1800													
5080	monrv041400	1	973.9	30.6	927.4	1800													
5081	monrv041500	1	431.32	-29.15	627.49	1800													
5082	monrv041500	1	427.43	-28.71	624.82	1800													
5083	monrv041500	1	423.41	-28.89	623.98	1800													
5084	monrv041600	1	858.24	-28.93	678.75	1800													
5085	monrc052200	17	368.73	14.43	519.49	1800													
5086	monrm055400	9	1061.6	79.38	-12.22	1800													
5087	monrm055500	9	1106.39	99.9	-307.91	1800													
5088	monrm055600	9	959.29	68.31	-115.05	1800													
5090	monrf040800	21	519.12	57.43	361.58	1800													
5091	monrf040800	21	521.36	57.43	364.61	1800													
5092	monrf040800	21	524.01	57.67	366.99	1800													
5093	monrm050001	9	706.513	-2.884	311.63	1800													
5094	monrc040900	16	1007.817	-16.038	711.87	600													
5095	monrc041000	16	1158.018	13.998	359.614	600													
5096	monrc041100	16	339.359	32.637	366.326	600													
5097	monrc041200	16	428.8	-41.8	322.3	1800													
5098	monrc041300	16	749.194	-28.596	574.706	600													
5099	monrc041400	16	1264.35	-24.934	786.477	600													
5100	monrc041500	16	606.4	-24	596.8	600													
5101	monrc041500	16	611.5	-23.7	596.3	600													
5102	monrc042200	16	538.2	-27.9	553	600													
5103	monrc041600	16	1354.015	-7.952	1073.472	600													
5104	monrc041700	16	535	-25.4	690.3	600													
5105	monrc041700	16	539.8	-25.5	693.9	600													
5106	monrc041900	16	504	-27	465	1800													
5107	monrc042300	16	503	-27	467	1800													
5108	monrc042300	16	502	-27	464.5	1800													
5109	monrc042000	16	388	-24.5	431	1800													
5110	monrc042300	16	389	-25	429.5	1800													
5111	monrc042300	16	390	-25	432	1800													
5112	monrc042100	16	518	-32.7	389	1800													
5113	monrc042300	16	518	-33.4	386.7	1800													
5114	monrc042300	16	520	-33.8	387.8	1800													
5115	monrm062700	10	183.6	91.5	451.5	600													
5117	monrm060800	10	308	49	567	600													
5118	monrm060900	10	627	128	144	600													
5119	monrm050800	9	954.564	79.713	-298.625	600													
5120	monrm051000	9	717.8	-15.4	138.6	600													
5121	monrm030400	7	280.879	40.804	411.639	600													
5122	monrm030500	7	-27.116	20.501	514.166	600													
5123	monrm030100	7	242.564	36.455	586.981	600													
5124	monrm030200	7	310.837	32.429	434.036	600													
5125	monrm030100	7	242.564	36.455	586.981	600													
5126	monrm030600	7	742	101.6	562	600													
5127	monrm030300	7	181.237	42.336	443.193	600													
5128	monrm055700	9	1024.329	77.985	-152.706	600													
5129	monrm055800	9	1024	77.985	-149	600													
5130	monrm055900	9	1082.4	78.9	23.6	600													
5131	monrv020600	2	185.622	-1.331	4.013	600													
5132	monrv020700	2	33.932	-3.223	72.073	600													
5133	monrv020800	2	43.869	-2.715	250.78	600													
5134	monrm056000	9	1015.674	68.735	-85.211	600													
5135	monrm056100	9	981.857	68.735	-173.706	600													
5136	monrm056200	9	1111	80	-28	600													
5137	monrm057900	9	1135	78	-224	600													
5138	monrm056400	9	950	73	-271	600													
5139	monrv020900	2	244.423	-3.094	18.265	600													
5140	monrm056900	9	442	17.9	-42.6	1800													
5141	monrf030800	20	746	-5	599	1800													
5142	monrf030900	20	750	-4.5	596	1800													
5143	monrf030900	20	750	-5	600	1800													
5144	monrf030700	20	814.6	-11.278	613.162	1800													
5145	monrf031000	20	1196	30	554	1800													
5148	monrf031200	20	956.5	1.65	892	1800													
5149	monrm057000	9	1109.803	78.943	4.804	1800													
5150	monrm057100	9	693.276	-10.287	271.915	1800													
5151	monrm057200	9	103.821	-10.608	752.739	1800													
5152	monrm057300	9	-8	21	749	1800													
5155	monrm056300	9	1075	78	-199	1800													
5156	monrf090100	26	793.097	6.997	1007.738	1800													
5157	monrf090200	26	930.66	0.627	1483.606	1800													
5158	monrm057600	9	1062	69	-107	600													
5159	monrm057600	9	1059	69	-108	600													
5160	monrm057600	9	1064	69	-112	600													
5161	monrm056600	9	977.176	70.343	-179.509	1800													
5162	monrm056700	9	999.349	68.735	-91.971	1800													
5163	monrm053100	9	792	31.5	1	1800													
5164	monrm053100	9	798	32	-3	1800													
5165	monrm053100	9	796	31	4	1800													
5166	monrm050900	9	1226	-16.5	-64	1800													
5167	monrm050900	9	1226	-14.5	-56.32	1800													
5168	monrm050900	9	1227	-14	-53	1800													
5169	monrm055400	9	668	-15.75	224	1800													
5170	monrm055400	9	680	-15.5	219	1800													
5171	monrm055400	9	669	-17	213	1800													
5172	monrm055400	9	675	-14.9	234	1800													
5173	monrm055500	21	468	23	440	1800													
5174	monrm062700	10	184.7	91.5	453.7	600													
5175	monrm062700	10	183.7	91.5	454.7	600													
