STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING												
1197	monrm060000	9	134.30	-12.29	768.33	300													
1198	monrm070100	11	781.188	91.53	633.89	300													
1199	monrm070100	11	776.41	91.53	633.476	300													
1200	monrm070100	11	783.266	91.5	637.2	300													
1201	monrm070200	11	906.888	100.499	539.248	300													
1202	monrm070300	11	691.884	90.121	429.758	300													
1203	monrm070400	11	105.112	122.548	363.15	300													
1204	monrm070500	11	165.197	65.163	559.375	300													
1205	monrm070600	11	139.8	71.871	708.8	300													
1206	monrm070700	11	142.193	71.87	702.585	300													
1207	monrm070800	11	162.95	76.05	736.4	300													
1208	monrm070800	11	165	76.05	734.5	300													
1209	monrm070800	11	159	76.05	737	300													
1210	monrm070900	11	180.8	76.05	749.038	300													
1211	monrm070900	11	175.791	76.05	748.464	300													
1212	monrm070900	11	184.127	76.05	745.547	300													
1213	monrm070900	11	185.5	76.05	749.319	300													
1214	monrm070900	11	177.129	76.05	752.168	300													
1215	monrm071000	11	478.39	108.08	484.891	300													
1216	monrm071000	11	475.721	108.05	484.512	300													
1217	monrm071000	11	484.465	110.919	477.141	300													
1218	monrm071000	11	468.74	110.919	476.327	300													
1219	monrm071100	11	525.167	109.676	465.874	300													
1220	monrm070200	11	471.1	110.92	476.822	300													
1221	monrm071200	11	478.39	108.08	484.891	300													
1222	monrm071200	11	475.721	108.05	484.512	300													
1223	monrm071200	11	484.465	110.919	477.141	300													
1224	monrm071200	11	468.74	110.919	476.327	300													
1225	monrm071200	11	477.013	110.771	480.878	300													
1226	monrm071300	11	879.93	85.262	632.671	300													
1227	monrm071400	11	682.266	68.063	644.73	300													
1228	monrm062300	10	714.4	12.91	640.5	300													
1229	monrm062300	10	707.2	14.1	637.1	300													
1230	monrv040200	1	286.6	24.27	961	300													
1231	monrv040200	1	287.6	24.27	958	300													
1232	monrv040200	1	283.3	24.27	961	300													
1233	monrm060100	10	594.5	34.9	708.3	300													
1234	monrm060100	10	595.3	34.87	705.2	300													
1235	monrm060100	10	593.3	34.92	711.1	300													
1238	monrf051400	22	1792.57	78.76	1065.3	300													
1239	monrf051400	22	1788.88	79	1065.86	300													
1240	monrm062300	10	712.7	13.54	636.8	300													
1241	monrm051300	9	486	46.52	726	300													
1242	monrm051300	9	488	46	731	300													
1243	monrm051300	9	489.8	45.44	727.5	300													
1244	monrm051200	9	814.6	32.4	832.6	300													
1245	monrm051200	9	812.3	32.4	833	300													
1246	monrm051500	9	814.7	32.4	835.6	300													
1247	monrm051200	9	896.5	33.1	762	300													
1248	monrm051200	9	897	33.1	760	300													
1249	monrm051200	9	892.3	33.1	766	300													
1250	monrf051500	22	1197	86	965	300													
1251	monrf051500	22	1200	86	967	300													
1252	monrf050800	22	1183	86	1020	300													
1253	monrf051600	22	1437	75	1244	300													
1254	monrf051600	22	1436	75	1248	300													
1255	monrf051700	22	1682	79	1183	300													
1256	monrf051700	22	1682	79	1185	300													
1257	monrm057800	9	322	86	1071.6	300													
1258	monrm057800	9	333	84.36	1078.5	300													
1259	monrm057800	9	330	86	1070	300													
1260	monrm058300	9	-11.37	34.4	1203	300													
1261	monrm058300	9	-9.7	34.15	1205	300													
1262	monrm058300	9	-6.6	33.86	1203	300													
1263	monrm058300	9	-9.4	34	1207	300													
1264	monrm058200	9	-15.2	34.6	1217	300													
1265	monrm058200	9	-11.3	34.22	1214.6	300													
1266	monrm058200	9	-19.6	35	1220	300													
1267	monrm058200	9	-11.76	34.24	1220	300													
1268																			
1269																			
1270																			
1271																			
1272																			
1273																			
1274																			
1275																			
1276																			
1277																			
1278																			
